,pref,pref_id,loss_from_2019,final_date_month,state_of_emergency,second,cases_per_population,deaths_per_population,average_temperature,unemployment_rate_percent,over_age65_population,population_2019,area_ha,population_per_density_per_ha,cases_lag,deaths_lag
47,沖縄県,47,0.9491,2020/2/29,0,0,0.206469373709566,0,18.7,3,322000,1453000,228100,6,NA,NA
48,北海道,1,0.6433,2020/3/31,0,0,2.03809523809524,0.0952380952380952,3.3,2.5,1673000,5250000,7842133,1,1.31428571428571,0.0380952380952381
49,青森県,2,0.7742,2020/3/31,0,0,0.642054574638844,0,5.1,3.1,415000,1246000,964564,1,0,0
50,岩手県,3,0.6616,2020/3/31,0,0,0,0,4.8,2.3,406000,1227000,1527501,1,0,0
51,宮城県,4,0.6556,2020/3/31,0,0,0.2601908065915,0,7.5,2.8,652000,2306000,728229,3,0.0433651344319167,0
52,秋田県,5,0.6325,2020/3/31,0,0,0.62111801242236,0,6.4,3.3,359000,966000,1163752,1,0,0
53,山形県,6,0.5939,2020/3/31,0,0,0.0927643784786642,0,6.1,2.3,360000,1078000,932315,1,0,0
54,福島県,7,0.728,2020/3/31,0,0,0.216684723726977,0,7.6,2.3,582000,1846000,1378390,1,0,0
55,茨城県,8,0.602,2020/3/31,0,0,0.839160839160839,0,9.3,2.3,843000,2860000,609739,5,0,0
56,栃木県,9,0.642,2020/3/31,0,1,0.672182006204757,0,9.1,2.1,554000,1934000,640809,3,0.0517063081695967,0
57,群馬県,10,0.6447,2020/3/31,0,0,0.978372811534501,0.0514933058702369,9.6,2.3,580000,1942000,636228,3,0,0
58,埼玉県,11,0.7717,2020/3/31,0,1,1.3469387755102,0.0272108843537415,10.1,2.5,1961000,7350000,379775,19,0.0136054421768707,0
59,千葉県,12,0.6648,2020/3/31,0,1,2.52436491452309,0.015976993129893,11.2,2.2,1743000,6259000,515760,12,0.191723917558715,0
60,東京都,13,0.677,2020/3/31,0,1,3.51267868687594,0.10775087996552,10.7,2.6,3209000,13921000,219407,63,0.244235327921845,0.00718339199770131
61,神奈川県,14,0.7388,2020/3/31,0,1,1.30463144161774,0.0543596434007393,11.2,2.1,2329000,9198000,241630,38,0.228310502283105,0.0108719286801479
62,山梨県,19,0.5795,2020/3/31,0,0,0.739827373612824,0,10.3,1.4,250000,811000,446527,2,0,0
63,新潟県,15,0.6628,2020/3/31,0,0,1.34952766531714,0,7.9,2.4,720000,2223000,1258424,2,0.0449842555105713,0
64,富山県,16,0.6294,2020/3/31,0,0,0.191570881226054,0,8.4,1.8,337000,1044000,424759,2,0,0
65,石川県,17,0.6131,2020/3/31,0,0,0.615114235500879,0,9,1.6,337000,1138000,418605,3,0.527240773286468,0
66,長野県,20,0.6562,2020/3/31,0,0,0.292825768667643,0,6.2,2.2,653000,2049000,1356156,2,0.0976085895558809,0
67,福井県,18,0.6576,2020/3/31,0,0,2.60416666666667,0,8.8,1.4,235000,768000,419052,2,0,0
68,岐阜県,21,0.6794,2020/3/31,0,1,1.20785103170609,0,10.5,1.3,599000,1987000,1062129,2,0.100654252642174,0
69,静岡県,22,0.6551,2020/3/31,0,0,0.246981339187706,0,12.2,2.1,1089000,3644000,777735,5,0.0274423710208562,0
70,愛知県,23,0.6271,2020/3/31,0,1,1.97298728813559,0.251588983050847,10.7,1.8,1892000,7552000,517306,15,0.357521186440678,0
71,三重県,24,0.6815,2020/3/31,0,0,0.561482313307131,0,10.4,1.2,530000,1781000,577445,3,0,0
72,滋賀県,25,0.6521,2020/3/31,0,0,0.495049504950495,0,9.6,2,368000,1414000,401738,4,0,0
73,京都府,26,0.5415,2020/3/31,0,1,2.59388308168796,0,10.6,2.7,753000,2583000,461220,6,0.0387146728610143,0
74,大阪府,27,0.736,2020/3/31,0,1,2.72448632080826,0.0227040526734022,11.4,2.9,2434000,8809000,190529,46,0.0340560790101033,0
75,兵庫県,28,0.7197,2020/3/31,0,1,2.70764727405781,0.201244054152945,11.4,2.4,1591000,5466000,840094,7,0,0
76,奈良県,29,0.6274,2020/3/31,0,0,0.75187969924812,0,10,2.3,417000,1330000,369094,4,0,0
77,和歌山県,30,0.6547,2020/3/31,0,0,0.540540540540541,0,11.3,2.2,306000,925000,472465,2,1.40540540540541,0.108108108108108
78,鳥取県,31,0.6512,2020/3/31,0,0,0,0,9.7,2.1,178000,556000,350714,2,0,0
