,country_name,year,v2x_polyarchy,v2mecenefm,v2exl_legitideol,v2cvgovres_0,v2cvgovres_1,v2cvgovres_2,v2cvgovres_3,v2cvgovres_4,v2cvgovres_5,v2cvgovres_6,v2cvgovres_nr
348,Saudi Arabia,2020,0.016,-1.606,1.295,0.571,0.571,0.286,0.286,0.143,0.286,0.143,7
349,Serbia,2020,0.342,-1.112,1.182,0.917,0.667,0.5,0.167,0.583,0,0.083,12
350,Seychelles,2020,0.574,0.51,-0.867,1,1,0,0,0,0,0,1
351,Singapore,2020,0.389,-1.068,0.502,0.857,0.714,0.143,0.286,0.429,0,0.143,7
352,Slovakia,2020,0.836,2.615,-2.03,0.846,0.692,0,0.154,0.692,0,0.077,13
353,Slovenia,2020,0.748,-0.146,1.13,1,1,0.222,0.556,0.556,0,0,9
354,Solomon Islands,2020,0.648,1.09,-2.009,1,0.667,0.667,0.333,1,0,0,3
355,Vanuatu,2020,0.745,-0.112,NA,1,1,1,0,1,0,0,1
356,United Arab Emirates,2020,0.1,-1.354,1.537,1,0,0.333,0.333,0,0,0,3
357,Hungary,2020,0.467,0.145,1.055,1,1,0.556,0.444,0.889,0,0,18
358,Zanzibar,2020,0.253,-0.906,0.979,0.375,0.375,0.125,0.25,0.125,0.625,0,8
