region,year,month,solar,temp
Cantabria,2003,1,4.830437547027633,4.821262310552706
Cantabria,2003,2,7.373542080510091,5.262387848354843
Cantabria,2003,3,13.879752871331812,9.67543315975769
Cantabria,2003,4,16.4716949886074,10.387442270700916
Cantabria,2003,5,20.021833576556435,12.830019431237199
Cantabria,2003,6,19.237230874812987,18.71343172990483
Cantabria,2003,7,20.50949324542793,18.68293599041856
Cantabria,2003,8,17.949524174017935,22.090874163887843
Cantabria,2003,9,14.570924888750314,17.237408600221492
Cantabria,2003,10,7.970629333943732,11.674433494979702
Cantabria,2003,11,6.218891594248506,9.548031754607878
Cantabria,2003,12,4.620300146195584,6.425524724128558
Cantabria,2004,1,4.245569943079306,6.70994715039317
Cantabria,2004,2,8.428057238300598,5.388304054891794
Cantabria,2004,3,11.289819116656707,6.262628351740403
Cantabria,2004,4,16.617242688434164,8.368719625216931
Cantabria,2004,5,19.729218562760984,11.781301167667841
Cantabria,2004,6,21.483613590961532,17.204069334760913
Cantabria,2004,7,20.344299729256893,17.445599641559507
Cantabria,2004,8,18.09299821404949,18.815746447327122
Cantabria,2004,9,14.552129812788316,17.066411833073587
Cantabria,2004,10,9.3259385125641,13.259173622767142
Cantabria,2004,11,5.533993183769324,8.144333906371715
Cantabria,2004,12,3.9396371930711274,6.198396760181471
Cantabria,2005,1,5.587434272037317,5.323769131291032
Cantabria,2005,2,7.464266216076682,3.1791093904399896
Cantabria,2005,3,13.270744107029085,7.590223952964638
Cantabria,2005,4,15.06951856940258,10.065119608097808
Cantabria,2005,5,20.701131237931207,13.32884933945265
Cantabria,2005,6,21.875124634384704,18.030790705537868
Cantabria,2005,7,21.97729380617477,18.713156554683383
Cantabria,2005,8,19.933646804338228,18.422810326852566
Cantabria,2005,9,15.984262284555813,16.36486664489109
Cantabria,2005,10,10.320126944195911,14.118210369602865
Cantabria,2005,11,5.430766723462622,7.9290965488993255
Cantabria,2005,12,4.466955580592549,5.090096713254415
Cantabria,2006,1,4.998528787319633,4.567568453110994
